Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
2020-10-01 18:23:24,2020-10-03,*7197,OK,-77.98,RUB,-77.98,RUB,,Супермаркеты,5411.0,Магнит,1,0,77.98
2020-10-01 17:08:35,2020-10-03,*7197,OK,-454.11,RUB,-454.11,RUB,,Супермаркеты,5411.0,Магнит,9,0,454.11
2020-09-30 18:22:38,2020-10-02,*7197,OK,-179.96,RUB,-179.96,RUB,,Супермаркеты,5411.0,Магнит,3,0,179.96
2020-09-30 15:21:25,2020-10-02,*7197,OK,-41.82,RUB,-41.82,RUB,,Супермаркеты,5411.0,Магнит,0,0,41.82
2020-09-30 15:13:25,2020-10-02,*7197,OK,-92.0,RUB,-92.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,92.0
2020-09-29 18:13:01,2020-10-01,*7197,OK,-43.98,RUB,-43.98,RUB,,Супермаркеты,5411.0,Магнит,0,0,43.98
2020-09-29 15:24:48,2020-10-01,*7197,OK,-138.0,RUB,-138.0,RUB,,Супермаркеты,5499.0,Колхоз,2,0,138.0
2020-09-28 20:52:18,2020-09-30,*7197,OK,-238.96,RUB,-238.96,RUB,,Супермаркеты,5411.0,Магнит,4,0,238.96
2020-09-28 16:54:26,2020-09-30,*7197,OK,-48.99,RUB,-48.99,RUB,,Супермаркеты,5411.0,Магнит,0,0,48.99
2020-09-28 10:00:40,2020-09-30,*7197,OK,-49.0,RUB,-49.0,RUB,,Супермаркеты,5411.0,Supermarket 101,0,0,49.0
2020-09-27 10:58:47,2020-09-29,*7197,OK,-122.97,RUB,-122.97,RUB,,Супермаркеты,5411.0,Магнит,2,0,122.97
2020-09-26 11:27:26,2020-09-28,*7197,OK,-232.95,RUB,-232.95,RUB,,Супермаркеты,5411.0,Магнит,4,0,232.95
2020-09-26 11:17:59,2020-09-28,*7197,OK,-121.1,RUB,-121.1,RUB,,Супермаркеты,5499.0,Колхоз,2,0,121.1
2020-09-25 18:23:10,2020-09-27,*7197,OK,-139.96,RUB,-139.96,RUB,,Супермаркеты,5411.0,Магнит,2,0,139.96
2020-09-24 16:08:35,2020-09-26,*7197,OK,-134.9,RUB,-134.9,RUB,,Супермаркеты,5499.0,Колхоз,2,0,134.9
2020-09-23 21:11:15,2020-09-25,*7197,OK,-39.0,RUB,-39.0,RUB,,Супермаркеты,5411.0,Supermarket 101,0,0,39.0
2020-09-23 19:13:50,2020-09-25,*7197,OK,-105.94,RUB,-105.94,RUB,,Супермаркеты,5499.0,Колхоз,2,0,105.94
2020-09-22 15:28:08,2020-09-24,*7197,OK,-138.0,RUB,-138.0,RUB,,Супермаркеты,5499.0,Колхоз,2,0,138.0
2020-09-22 15:22:04,2020-09-24,*7197,OK,-93.16,RUB,-93.16,RUB,,Супермаркеты,5411.0,Магнит,1,0,93.16
2020-09-22 13:05:50,2020-09-24,*7197,OK,-107.19,RUB,-107.19,RUB,,Супермаркеты,5411.0,Дикси,2,0,107.19
2020-09-21 15:54:21,2020-09-23,*7197,OK,-86.02,RUB,-86.02,RUB,,Супермаркеты,5499.0,Колхоз,1,0,86.02
2020-09-21 15:52:14,2020-09-23,*7197,OK,-197.98,RUB,-197.98,RUB,,Супермаркеты,5411.0,Магнит,3,0,197.98
2020-09-21 14:35:15,2020-09-23,*7197,OK,-125.49,RUB,-125.49,RUB,,Супермаркеты,5411.0,Дикси,2,0,125.49
2020-09-21 08:51:17,2020-09-23,*7197,OK,-49.0,RUB,-49.0,RUB,,Супермаркеты,5411.0,Supermarket 101,0,0,49.0
2020-09-20 18:17:50,2020-09-22,*7197,OK,-48.49,RUB,-48.49,RUB,,Супермаркеты,5411.0,Магнит,0,0,48.49
2020-09-20 11:27:05,2020-09-22,*7197,OK,-48.49,RUB,-48.49,RUB,,Супермаркеты,5411.0,Магнит,0,0,48.49
2020-09-19 22:35:43,2020-09-21,*7197,OK,-419.98,RUB,-419.98,RUB,,Супермаркеты,5411.0,Магнит,8,0,419.98
2020-09-19 10:45:15,2020-09-21,*7197,OK,-138.0,RUB,-138.0,RUB,,Супермаркеты,5499.0,Колхоз,2,0,138.0
2020-09-18 15:29:17,2020-09-20,*7197,OK,-117.97,RUB,-117.97,RUB,,Супермаркеты,5411.0,Магнит,2,0,117.97
2020-09-18 12:42:30,2020-09-20,*7197,OK,-35.97,RUB,-35.97,RUB,,Супермаркеты,5411.0,Магнит,0,0,35.97
2020-09-17 20:43:26,2020-09-19,*7197,OK,-56.98,RUB,-56.98,RUB,,Супермаркеты,5411.0,Магнит,1,0,56.98
2020-09-17 17:33:12,2020-09-19,*7197,OK,-98.5,RUB,-98.5,RUB,,Супермаркеты,5411.0,Дикси,1,0,98.5
2020-09-17 11:12:12,2020-09-19,*7197,OK,-86.0,RUB,-86.0,RUB,,Супермаркеты,5411.0,Supermarket 101,1,0,86.0
2020-09-17 11:08:32,2020-09-19,*7197,OK,-120.0,RUB,-120.0,RUB,,Супермаркеты,5441.0,Kofe Osobyj,2,0,120.0
2020-09-16 17:29:43,2020-09-18,*7197,OK,-50.89,RUB,-50.89,RUB,,Супермаркеты,5411.0,Дикси,1,0,50.89
2020-09-16 14:38:33,2020-09-18,*7197,OK,-198.0,RUB,-198.0,RUB,,Супермаркеты,5411.0,Prisma,3,0,198.0
2020-09-15 19:17:04,2020-09-18,*7197,OK,-98.97,RUB,-98.97,RUB,,Супермаркеты,5411.0,Магнит,1,0,98.97
2020-09-15 13:09:37,2020-09-18,*7197,OK,-546.97,RUB,-546.97,RUB,,Супермаркеты,5411.0,Магнит,10,0,546.97
2020-09-14 14:19:31,2020-09-17,*7197,OK,-150.98,RUB,-150.98,RUB,,Супермаркеты,5411.0,Магнит,3,0,150.98
2020-09-14 14:04:20,2020-09-17,*7197,OK,-1249.8,RUB,-1249.8,RUB,,Супермаркеты,5411.0,Prisma,24,0,1249.8
2020-09-13 21:19:54,2020-09-15,*7197,OK,-390.94,RUB,-390.94,RUB,,Супермаркеты,5411.0,Магнит,7,0,390.94
2020-09-13 21:03:57,2020-09-15,*7197,OK,-634.79,RUB,-634.79,RUB,,Супермаркеты,5411.0,Prisma,12,0,634.79
2020-09-12 20:21:27,2020-09-14,*7197,OK,-141.0,RUB,-141.0,RUB,,Супермаркеты,5411.0,Supermarket 101,2,0,141.0
2020-09-12 20:17:30,2020-09-15,*7197,OK,-49.07,RUB,-49.07,RUB,,Супермаркеты,5411.0,Магнит,0,0,49.07
2020-09-12 13:11:18,2020-09-14,*7197,OK,-83.49,RUB,-83.49,RUB,,Супермаркеты,5499.0,Колхоз,1,0,83.49
2020-09-12 10:04:09,2020-09-15,*7197,OK,-48.99,RUB,-48.99,RUB,,Супермаркеты,5411.0,Магнит,0,0,48.99
2020-09-11 17:20:31,2020-09-14,*7197,OK,-68.69,RUB,-68.69,RUB,,Супермаркеты,5411.0,Дикси,1,0,68.69
2020-09-11 14:37:35,2020-09-14,*7197,OK,-189.98,RUB,-189.98,RUB,,Супермаркеты,5411.0,Магнит,3,0,189.98
